,Anger,Happiness,Fear,Sadness,NG_score,Neutral_Dummy,Interaction_anger_Neutral,Interaction_fear_Neutral,Interaction_happiness_Neutral,Interaction_sadness_Neutral,Number_Outgroup_Words_log,Number_Ingroup_Words_log,Interaction_Outgroup_anger,Interaction_Ingroup_anger,Interaction_Outgroup_fear,Interaction_Outgroup_happiness,id,Party,author_id_new,Follower_count,RT_count,text
11867,0.7721513,0.03654617,0.092035905,0.06334163,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006610872645640192,Democrat,28602948,42789,0,"Throughout her tenure at Dept of Ed, DeVos has made no attempt to hide her affinity for the for-profit college industry. When will she stop turning a blind eye to the fraudulent behavior and start protecting students? https://t.co/cGRZgGsswU"
11868,0.12905522,0.054452356,0.06326549,0.039925054,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459898918263832576,Democrat,970207298,7040193,0,"Investing in affordable, high-quality child care and pre-k will be transformative for our families and our economy. That's why we need #UniversalChildCare in #BuildBackBetter. I'm in this fight all the way—let's get this done.\nhttps://t.co/kDUcPuDuet"
11869,0.5397056,0.023877801,0.101492345,0.22516936,100.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0.5929272044229953,0.0,0.11150073742274336,0.026232445604971677,849687460787478528,Democrat,28602948,42789,0,".@RealDonaldTrump if you truly care, reconsider your policy towards refugees. #SyriaGasAttack\nhttps://t.co/obs3fDGhCo"
11870,0.10035927,0.024730835,0.055188898,0.40089205,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277323490580930560,Democrat,258900199,79928,0,My sympathies are with George’s loved ones and community who are grieving this tragic loss.\n\nI welcome the news that an investigation has been launched into George’s death &amp; urge the NYPD to hold these officers accountable if they did not follow protocol.\nhttps://t.co/ldXWxvzhFc
11871,0.05168943,0.19624653,0.036981042,0.032050505,87.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0.056786642992250044,0.0,0.0,936277622748844032,Democrat,571214272,49912,0,"This year, Dems marched, voted, ran for office, and won! What inspires you to keep fighting in 2018? https://t.co/EnGDzkCG6u"
11872,0.6827733500000001,0.061782226,0.17077024,0.051688515,95.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681096,0.0,0.7501031926850923,0.0,0.18761028420280235,0.06787471270487039,1402357919249747968,Democrat,234014087,73900,0,This chilling report raises so many questions that it is unfathomable that Republicans do not want a #January6thCommission. It's time to face the truth!\nhttps://t.co/DK2BRfS6t1
11873,0.527504,0.036071997,0.1365365999999999,0.058677886,82.5,1.0,0.527504,0.1365365999999999,0.036071997,0.058677886,0.0,0.0,0.0,0.0,0.0,0.0,1258088106768695296,Democrat,970207298,7040193,0,The @DeptVetAffairs inspects every State Veterans Home (SVH) &amp; pays for vets to receive care at VA-recognized SVHs. I want @USGAO to investigate the VA’s oversight of these facilities after COVID-19 outbreaks at Holyoke Soldiers’ Home &amp; other SVHs. https://t.co/MN4nuh9h8d
11874,0.36931765,0.024900192,0.09802463,0.119674526,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100421691816271872,Democrat,970207298,7040194,0,Our servicemembers &amp; their families shouldn't have to live in toxic homes while the private companies that oversee them make a guaranteed profit. Military families sacrifice for our country every day. We owe it to them to protect their health &amp; well-being. https://t.co/imzR8YTHfU
11876,0.070885666,0.51288867,0.21929961,0.062372938,92.5,1.0,0.070885666,0.21929961,0.51288867,0.062372938,0.0,0.6931471805599453,0.0,0.049134199530013974,0.0,0.0,588343754316124160,Democrat,193441812,255090,0,"Murray, Durbin hit the phones  http://t.co/1H7H5mkC05"
11877,0.06975472,0.07781315,0.040285185,0.08402091,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1497997636737114112,Democrat,1099199839,207534,0,"I owe a debt of gratitude to Rudolfo Anaya for inspiring Julie and me to choose New Mexico as our home in the Spring of 1995. It’s sad to see efforts to censor what books, narratives and life experiences students can learn from. America is better than this.https://t.co/NbPU3TO1nc"
11878,0.13163386,0.22857727,0.3476276,0.04554842,100.0,1.0,0.13163386,0.3476276,0.22857727,0.04554842,0.0,0.6931471805599453,0.0,0.09124163892522255,0.0,0.0,492324524663111680,Democrat,29442313,12495880,0,Happening now: Sen. Sanders is speaking about his VA proposal on the #Senate floor. Watch live here: http://t.co/Dk2cJr1zHE
11879,0.07825313,0.72175103,0.053612676,0.029814055,100.0,1.0,0.07825313,0.053612676,0.72175103,0.029814055,0.0,0.0,0.0,0.0,0.0,0.0,491638819633250304,Democrat,31801993,51875,0,"An Edison, #NJ native &amp; @JPSHighSchool senior who qualified for Teen @Jeopardy. Who is Jeff Xie? Watch him tonight! http://t.co/NjD5HNHpla"
11880,0.25065967,0.028253594,0.32275224,0.2874356999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678167567861706752,Democrat,435331179,1436173,0,Crimes Against Muslim Americans and Mosques Rise Sharply https://t.co/uSgefkcxxk @TakeonHate
11881,0.061957788,0.04415734,0.05654226,0.044508297,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011346006838009856,Democrat,24745957,55539,0,"#Vitiligo is a skin condition that causes discoloration due to damaged pigment cells, or melanocytes. Today, on #WorldVitiligoDay, I hope we'll all continue to elevate the discussion on symptoms, treatment, and research for Vitiligo. Find out more at https://t.co/S81aSdHPG4."
